X,Y,NAME,WEB_URL,ADDRESS,LINE,TRAININFO_URL,SE_ANNO_CAD_DATA,GLOBALID,GIS_ID,OBJECTID,CREATOR,CREATED,EDITOR,EDITED
-76.87184353,38.94779266,New Carrollton,https://www.wmata.com/rider-guide/stations/new-carrollton.cfm,"4700 GARDEN CITY DRIVE, NEW CARROLLTON, MD",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D13|New Carrollton,,{FEA24032-6DB8-4B50-95D4-4A1676426071},MetroStnFullPt_21,21,,,,
-77.06298848,38.94327308,Van Ness-UDC,https://www.wmata.com/rider-guide/stations/van-ness.cfm,"4200 CONNECTICUT AVENUE NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A06|Van%20Ness-UDC,,{6DCB86A5-1418-4732-9A2D-05808C831A22},MetroStnFullPt_22,22,,,,
-77.02346319,38.93744242,Georgia Ave Petworth,https://www.wmata.com/rider-guide/stations/georgia-ave.cfm,"3700 GEORGIA AVENUE NW, WASHINGTON, DC","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E05|Georgia Ave-Petworth,,{B0079892-887F-4600-9184-E6394080B974},MetroStnFullPt_23,23,,,,
-77.05804482,38.93477068,Cleveland Park,https://www.wmata.com/rider-guide/stations/cleveland-park.cfm,"3599 CONNECTICUT AVENUE NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A05|Cleveland Park,,{B579F81E-5C27-46C6-BD00-55FC317FDFAD},MetroStnFullPt_24,24,,,,
-76.89120021,38.93351403,Landover,https://www.wmata.com/rider-guide/stations/landover.cfm,"3000 PENNSY DRIVE, HYATTSVILLE, MD",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D12|Landover,,{A737984F-86AD-4B07-A10A-2CBCD0761B1F},MetroStnFullPt_25,25,,,,
-76.99453656,38.93321879,Brookland-CUA,https://www.wmata.com/rider-guide/stations/brookland.cfm,"801 MICHIGAN AVENUE NE, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B05|Brookland-CUA,,{00E84D8A-2952-4996-8F8B-CC36FCF76BD5},MetroStnFullPt_26,26,,,,
-77.24156035,38.92895963,Spring Hill,https://www.wmata.com/rider-guide/stations/spring-hill.cfm,"1576 SPRING HILL ROAD VIENNA, VA 22182",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N04|Spring%20Hill,,{815F2ABD-AEB1-49B1-A682-DF25AD7D7F59},MetroStnFullPt_27,27,,,,
-77.03255441,38.92784576,Columbia Heights,https://www.wmata.com/rider-guide/stations/columbia-hghts.cfm,"3030 14TH STREET NW, WASHINGTON, DC","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E04|Columbia Heights,,{3D5472EA-F9AE-4249-A5B1-03B2E6EBE0CC},MetroStnFullPt_28,28,,,,
-77.05242032,38.92509293,Woodley Park-Zoo Adams Morgan,https://www.wmata.com/rider-guide/stations/woodley-park.cfm,"2700 24TH STREET NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A04|Woodley%20Park-Zoo/Adams%20Morgan,,{48A1623E-766A-478A-B4D6-F5997B3DBB9B},MetroStnFullPt_29,29,,,,
-77.21008129,38.92452955,McLean,https://www.wmata.com/rider-guide/stations/mclean.cfm,"1824 DOLLEY MADISON BOULIVARD MCLEAN, VA 22102",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N01|McLean,,{06362927-C76E-4BC6-BBDF-7ECF1A44BF85},MetroStnFullPt_30,30,,,,
