,Unnamed: 0.1,Unnamed: 0,BATHRM,HF_BATHRM,AC,NUM_UNITS,ROOMS,BEDRM,EYB,STORIES,PRICE,STRUCT,CNDTN,KITCHENS,FIREPLACES,LANDAREA,FULLADDRESS,CITY,STATE,ZIPCODE,NATIONALGRID,LATITUDE,LONGITUDE,ASSESSMENT_SUBNBHD,WARD,SQUARE,X,Y,QUADRANT,year,"('distance', '.25metro', '.50metro')",distance2
9477,131548,131548,1,0,Y,,3,1,2003,,499000.0,,,,0,126,,,,20005.0,,38.9091668,-77.03285043,040 E Old City 2,Ward 2,210,-77.03285271861816,38.90917425471374,NW,2017,0.5420110361504259,0.6369562408519454
9478,131578,131578,1,0,N,,2,0,1885,,279000.0,,,,0,157,,,,20009.0,,38.91494815,-77.03545213,040 E Old City 2,Ward 2,191,-77.03545443530626,38.91495560890717,NW,2017,0.4503960772255024,0.6369562408519454
9479,131589,131589,2,0,Y,,4,2,1991,,815000.0,,,,0,613,,,,20009.0,,38.91494815,-77.03545213,040 E Old City 2,Ward 2,191,-77.03545443530626,38.91495560890717,NW,2017,0.4503960772255024,0.6369562408519454
9480,131591,131591,2,0,Y,,4,2,1991,,811750.0,,,,0,613,,,,20009.0,,38.91494815,-77.03545213,040 E Old City 2,Ward 2,191,-77.03545443530626,38.91495560890717,NW,2017,0.4503960772255024,0.6369562408519454
9481,131600,131600,1,0,Y,,3,1,1919,,349500.0,,,,0,115,,,,20009.0,,38.91494815,-77.03545213,040 E Old City 2,Ward 2,191,-77.03545443530626,38.91495560890717,NW,2017,0.4503960772255024,0.5539071298522007
9482,131611,131611,1,0,Y,,3,1,1964,,,,,,0,102,,,,20005.0,,38.907013065,-77.03357597499999,040 C Old City 2,Ward 2,212,-77.03357827059531,38.90702052141199,NW,2017,0.3916714876660687,0.5539071298522007
9483,131616,131616,1,0,Y,,3,1,1964,,,,,,0,102,,,,20005.0,,38.907013065,-77.03357597499999,040 C Old City 2,Ward 2,212,-77.03357827059531,38.90702052141199,NW,2017,0.3916714876660687,0.18994882708422164
9484,131647,131647,2,0,Y,,4,2,2013,,649350.0,,,,0,227,,,,20001.0,,38.91874335,-77.02636279,040 F Old City 2,Ward 1,331,-77.02636507295286,38.9187508093486,NW,2017,0.13431410370968408,0.18994882708422164
9485,131654,131654,2,0,Y,,4,2,2013,,659000.0,,,,0,224,,,,20001.0,,38.91874335,-77.02636279,040 F Old City 2,Ward 1,331,-77.02636507295286,38.9187508093486,NW,2017,0.13431410370968408,0.18994882708422164
9486,131658,131658,2,0,Y,,4,2,2013,,685000.0,,,,0,257,,,,20001.0,,38.91874335,-77.02636279,040 F Old City 2,Ward 1,331,-77.02636507295286,38.9187508093486,NW,2017,0.13431410370968408,0.18994882708422164
9487,131659,131659,2,0,Y,,4,2,2013,,629750.0,,,,0,227,,,,20001.0,,38.91874335,-77.02636279,040 F Old City 2,Ward 1,331,-77.02636507295286,38.9187508093486,NW,2017,0.13431410370968408,0.18994882708422164
9488,131667,131667,2,0,Y,,4,2,2013,,,,,,0,213,,,,20001.0,,38.91874335,-77.02636279,040 F Old City 2,Ward 1,331,-77.02636507295286,38.9187508093486,NW,2017,0.13431410370968408,0.09730227830879627
9489,131685,131685,2,1,Y,,5,3,2013,,1120000.0,,,,0,918,,,,20001.0,,38.91624255,-77.02668154,040 E Old City 2,Ward 1,333,-77.02668383288812,38.91625000221959,NW,2017,0.06880310081705056,0.09730227830879627
9490,131687,131687,2,1,Y,,5,3,2013,,1100000.0,,,,0,918,,,,20001.0,,38.91624255,-77.02668154,040 E Old City 2,Ward 1,333,-77.02668383288812,38.91625000221959,NW,2017,0.06880310081705056,0.46729328709795276
9491,131700,131700,2,0,Y,,4,2,1937,,625000.0,,,,0,157,,,,20005.0,,38.90471158,-77.02764905500001,040 C Old City 2,Ward 2,315,-77.02765134030867,38.90471902958265,NW,2017,0.3304262521099146,0.46729328709795276
9492,131712,131712,1,0,Y,,3,1,1937,,337100.0,,,,0,115,,,,20005.0,,38.90471158,-77.02764905500001,040 C Old City 2,Ward 2,315,-77.02765134030867,38.90471902958265,NW,2017,0.3304262521099146,0.24446324854507798
9493,131752,131752,2,0,Y,,4,1,2006,,715000.0,,,,0,170,,,,20001.0,,38.90476073,-77.02429751,040 C Old City 2,Ward 2,369,-77.02429980189362,38.90476818277057,NW,2017,0.17286162079711703,0.24446324854507798
9494,131755,131755,2,0,Y,,4,2,2006,,830000.0,,,,0,186,,,,20001.0,,38.90476073,-77.02429751,040 C Old City 2,Ward 2,369,-77.02429980189362,38.90476818277057,NW,2017,0.17286162079711703,0.7665193582798262
9495,131767,131767,1,0,Y,,2,0,2003,,354000.0,,,,0,94,,,,20005.0,,38.9091668,-77.03285043,040 E Old City 2,Ward 2,210,-77.03285271861816,38.90917425471374,NW,2017,0.5420110361504259,0.7665193582798262
